#SUM149-P 24h talazoparib treatment,,
filename,cell,n_nuclear_blobs
C2-Image16,1,15
C2-Image16,2,0
C2-Image16,3,0
C2-Image16,4,0
C2-Image16,5,1
C2-Image16,6,9
C2-Image16,7,2
C2-Image16,8,5
C2-Image16,9,0
C2-Image16,10,0
C2-Image16,11,0
C2-Image16,12,5
C2-Image16,13,5
C2-Image16,14,6
C2-Image16,15,0
C2-Image16,16,11
C2-Image16,17,6
C2-Image16,18,0
C2-Image16,19,1
C2-Image16,20,2
C2-Image16,21,0
C2-Image16,22,1
C2-Image16,23,4
C2-Image16,24,0
C2-Image16,25,11
C2-Image16,26,2
C2-Image16,27,0
C2-Image17,0,0
C2-Image17,1,16
C2-Image17,2,14
C2-Image17,3,4
C2-Image17,4,2
C2-Image17,5,0
C2-Image17,6,21
C2-Image17,7,6
C2-Image17,8,5
C2-Image17,9,13
C2-Image17,10,0
C2-Image17,11,18
C2-Image17,12,11
C2-Image17,13,10
C2-Image17,14,0
C2-Image17,15,0
C2-Image17,16,6
C2-Image17,17,10
C2-Image17,18,1
C2-Image17,19,6
C2-Image17,20,11
C2-Image17,21,0
C2-Image17,22,0
C2-Image18,1,0
C2-Image18,2,0
C2-Image18,3,2
C2-Image18,4,7
C2-Image18,5,9
C2-Image18,6,5
C2-Image18,7,9
C2-Image18,8,1
C2-Image18,9,3
C2-Image18,10,4
C2-Image18,11,2
C2-Image18,12,1
C2-Image18,13,0
C2-Image18,14,7
C2-Image18,15,2
C2-Image18,16,9
C2-Image18,17,13
C2-Image18,18,3
C2-Image18,19,6
C2-Image18,20,13
C2-Image18,21,15
C2-Image18,22,0
C2-Image18,23,3
C2-Image18,24,14
C2-Image18,25,3
C2-Image18,26,14
C2-Image18,27,6
C2-Image18,28,0
C2-Image18,29,1
C2-Image19,1,1
C2-Image19,2,6
C2-Image19,3,1
C2-Image19,4,0
C2-Image19,5,5
C2-Image19,6,0
C2-Image19,7,0
C2-Image19,8,0
C2-Image19,9,0
C2-Image19,10,0
C2-Image19,11,4
C2-Image19,12,0
C2-Image19,13,0
C2-Image19,14,0
C2-Image19,15,0
C2-Image19,16,0
C2-Image19,17,0
C2-Image19,18,5
C2-Image19,19,0
C2-Image19,20,24
C2-Image19,21,3
C2-Image19,22,0
C2-Image19,23,13
C2-Image19,24,1
C2-Image19,25,0
C2-Image19,26,0
C2-Image20,1,0
C2-Image20,2,0
C2-Image20,3,5
C2-Image20,4,2
C2-Image20,5,8
C2-Image20,6,15
C2-Image20,7,0
C2-Image20,8,5
C2-Image20,9,1
C2-Image20,10,0
C2-Image20,11,8
C2-Image20,12,1
C2-Image20,13,6
C2-Image20,14,14
C2-Image20,15,4
C2-Image20,16,6
C2-Image20,17,0
C2-Image20,18,3
C2-Image20,19,9
C2-Image20,20,1
C2-Image20,21,1
C2-Image20,22,7
C2-Image20,23,8
C2-Image20,24,0
C2-Image20,25,7
C2-Image20,26,0
C2-Image20,27,0
C2-Image5,1,0
C2-Image5,2,3
C2-Image5,3,16
C2-Image5,4,1
C2-Image5,5,7
C2-Image5,6,4
C2-Image5,7,12
C2-Image5,8,12
C2-Image5,9,0
C2-Image5,10,6
C2-Image5,11,0
C2-Image5,12,6
C2-Image5,13,1
C2-Image5,14,0
C2-Image5,15,0
C2-Image5,16,0
C2-Image5,17,5
C2-Image5,18,7
C2-Image5,19,6
C2-Image5,20,2
C2-Image5,21,4
C2-Image5,22,4
C2-Image5,23,5
C2-Image5,24,3
C2-Image5,25,1
C2-Image5,26,3
C2-Image5,27,0
C2-Image5,28,5
C2-Image5,29,1
C2-Image5,30,26
C2-Image5,31,5
C2-Image5,32,3
C2-Image5,33,2
C2-Image5,34,5
C2-Image6,1,6
C2-Image6,2,0
C2-Image6,3,2
C2-Image6,4,0
C2-Image6,5,0
C2-Image6,6,0
C2-Image6,7,13
C2-Image6,8,0
C2-Image6,9,0
C2-Image6,10,3
C2-Image6,11,5
C2-Image6,12,2
C2-Image6,13,15
C2-Image6,14,2
C2-Image6,15,14
C2-Image6,16,4
C2-Image6,17,0
C2-Image6,18,4
C2-Image6,19,0
C2-Image6,20,6
C2-Image6,21,1
C2-Image6,22,0
C2-Image6,23,3
C2-Image6,24,0
C2-Image6,25,2
C2-Image6,26,0
C2-Image6,27,7
C2-Image7,1,0
C2-Image7,2,10
C2-Image7,3,4
C2-Image7,4,9
C2-Image7,5,0
C2-Image7,6,0
C2-Image7,7,9
C2-Image7,8,1
C2-Image7,9,14
C2-Image7,10,5
C2-Image7,11,2
C2-Image7,12,4
C2-Image7,13,1
C2-Image7,14,3
C2-Image7,15,5
C2-Image7,16,0
C2-Image7,17,4
C2-Image7,18,0
C2-Image7,19,5
C2-Image7,20,16
C2-Image7,21,28
C2-Image7,22,8
C2-Image7,23,1
C2-Image7,24,10
C2-Image7,25,13
C2-Image7,26,18
C2-Image7,27,9
C2-Image7,28,5
C2-Image7,29,1
C2-Image7,30,1
C2-Image7,31,5
C2-Image7,32,10
C2-Image7,33,3
C2-Image7,34,0
C2-Image7,35,4
C2-Image8,1,6
C2-Image8,2,2
C2-Image8,3,14
C2-Image8,4,6
C2-Image8,5,1
C2-Image8,6,5
C2-Image8,7,6
C2-Image8,8,16
C2-Image8,9,11
C2-Image8,10,1
C2-Image8,11,8
C2-Image8,12,14
C2-Image8,13,11
C2-Image8,14,23
C2-Image8,15,2
C2-Image8,16,28
C2-Image8,17,10
C2-Image8,18,2
C2-Image8,19,5
C2-Image8,20,14
C2-Image8,21,0
C2-Image8,22,1
C2-Image8,23,0
C2-Image8,24,10
C2-Image8,25,0
C2-Image8,26,10
C2-Image8,27,3
C2-Image8,28,0
C2-Image8,29,1
C2-Image8,30,1