#SUM149-C29 24 h talazoparib treatment,,
filename,cell,n_nuclear_blobs
C2-Image31,1,0
C2-Image31,2,0
C2-Image31,3,25
C2-Image31,4,51
C2-Image31,5,26
C2-Image31,6,31
C2-Image31,7,47
C2-Image31,8,9
C2-Image31,9,207
C2-Image31,10,6
C2-Image31,11,4
C2-Image37,1,33
C2-Image37,2,40
C2-Image37,3,0
C2-Image37,4,13
C2-Image37,5,15
C2-Image37,6,43
C2-Image37,7,23
C2-Image37,8,8
C2-Image37,9,11
C2-Image37,10,24
C2-Image37,11,12
C2-Image37,12,98
C2-Image37,13,32
C2-Image37,14,41
C2-Image38,1,49
C2-Image38,2,7
C2-Image38,3,35
C2-Image38,4,30
C2-Image38,5,44
C2-Image38,6,53
C2-Image38,7,47
C2-Image38,8,43
C2-Image38,9,20
C2-Image38,10,11
C2-Image39,1,23
C2-Image39,2,15
C2-Image39,3,15
C2-Image39,4,24
C2-Image39,5,17
C2-Image39,6,21
C2-Image40,1,8
C2-Image40,2,3
C2-Image40,3,6
C2-Image40,4,12
C2-Image40,5,38
C2-Image40,6,0
C2-Image40,7,11
C2-Image40,8,22
C2-Image40,9,46
C2-Image41,1,5
C2-Image41,2,7
C2-Image41,3,22
C2-Image41,4,3
C2-Image41,5,10
C2-Image41,6,76
C2-Image13,1,0
C2-Image13,2,3
C2-Image13,3,5
C2-Image13,4,4
C2-Image13,5,4
C2-Image13,6,31
C2-Image13,7,9
C2-Image13,8,1
C2-Image13,9,3
C2-Image13,10,19
C2-Image13,11,2
C2-Image13,12,8
C2-Image13,13,7
C2-Image13,14,1
C2-Image13,15,0
C2-Image13,16,23
C2-Image13,17,2
C2-Image13,18,0
C2-Image13,19,0
C2-Image13,20,23
C2-Image13,21,4
C2-Image13,22,30
C2-Image13,23,1
C2-Image14,1,1
C2-Image14,2,3
C2-Image14,3,2
C2-Image14,4,9
C2-Image14,5,27
C2-Image14,6,2
C2-Image14,7,24
C2-Image14,8,7
C2-Image14,9,22
C2-Image14,10,1
C2-Image14,11,10
C2-Image14,12,12
C2-Image14,13,28
C2-Image14,14,2
C2-Image14,15,0
C2-Image14,16,1
C2-Image14,17,1
C2-Image14,18,1
C2-Image14,19,8
C2-Image15,1,1
C2-Image15,2,4
C2-Image15,3,3
C2-Image15,4,5
C2-Image15,5,21
C2-Image15,6,0
C2-Image15,7,5
C2-Image15,8,4
C2-Image15,9,29
C2-Image15,10,0
C2-Image15,11,0
C2-Image15,12,5
C2-Image15,13,2
C2-Image15,14,23
C2-Image15,15,4
C2-Image15,16,2
C2-Image15,17,2
C2-Image16,1,13
C2-Image16,2,0
C2-Image16,3,18
C2-Image16,4,4
C2-Image16,5,12
C2-Image16,6,32
C2-Image16,7,1
C2-Image16,8,24
C2-Image16,9,1
C2-Image16,10,5
C2-Image16,11,46
C2-Image16,12,24
C2-Image16,13,0
C2-Image16,14,0